YEAR,MONTH,flight_date,flight_number,origin_airport,destination_airport,departure_delay,arrival_delay,cancelled,diverted,distance,is_delayed_15
2025.0,1.0,2025-01-01,1370.0,GRR,MCO,,,1,0,1024.0,
2025.0,1.0,2025-01-01,1373.0,EGE,ORD,,,1,0,1007.0,
2025.0,1.0,2025-01-01,1550.0,DEN,SBP,,,1,0,931.0,
2025.0,1.0,2025-01-01,2094.0,RSW,EWR,,,1,0,1068.0,
2025.0,1.0,2025-01-01,2121.0,TTN,PBI,,,1,0,985.0,
2025.0,1.0,2025-01-01,2123.0,MCI,DEN,,,1,0,533.0,
2025.0,1.0,2025-01-01,2221.0,DEN,MTJ,,,1,0,196.0,
2025.0,1.0,2025-01-01,2507.0,PHL,MCO,,,1,0,861.0,
2025.0,1.0,2025-01-01,2562.0,PGD,TOL,,,1,0,1016.0,
2025.0,1.0,2025-01-01,2575.0,TOL,PGD,,,1,0,1016.0,
2025.0,1.0,2025-01-01,2582.0,PBI,PHL,,,1,0,951.0,
2025.0,1.0,2025-01-01,262.0,DEN,DFW,,,1,0,641.0,
2025.0,1.0,2025-01-01,2624.0,RSW,ORD,,,1,0,1120.0,
2025.0,1.0,2025-01-01,2660.0,DEN,SBA,,,1,0,916.0,
2025.0,1.0,2025-01-01,3394.0,SFO,SLC,,,1,0,599.0,
2025.0,1.0,2025-01-01,4263.0,RSW,GRR,,,1,0,1147.0,
2025.0,1.0,2025-01-01,4461.0,SJU,PHL,,,1,0,1576.0,
2025.0,1.0,2025-01-01,4949.0,SLC,PHX,,,1,0,507.0,
2025.0,1.0,2025-01-01,586.0,DEN,MCI,,,1,0,533.0,
2025.0,1.0,2025-01-01,501.0,FLL,PBG,-5.0,-32.0,0,0,1334.0,0
2025.0,1.0,2025-01-01,531.0,PBG,FLL,-3.0,-17.0,0,0,1334.0,0
2025.0,1.0,2025-01-01,1062.0,PBG,PIE,25.0,33.0,0,0,1262.0,1
2025.0,1.0,2025-01-01,2724.0,PIE,PBG,-1.0,18.0,0,0,1262.0,1
2025.0,1.0,2025-01-01,2554.0,PGD,SPI,107.0,102.0,0,0,994.0,1
2025.0,1.0,2025-01-01,2820.0,SGF,SFB,-6.0,-13.0,0,0,914.0,0
2025.0,1.0,2025-01-01,2971.0,SFB,SGF,-3.0,-7.0,0,0,914.0,0
2025.0,1.0,2025-01-01,894.0,SPI,PGD,106.0,90.0,0,0,994.0,1
2025.0,1.0,2025-01-01,1785.0,PIE,ABE,-11.0,-25.0,0,0,970.0,0
2025.0,1.0,2025-01-01,1822.0,PGD,ABE,4.0,-7.0,0,0,1018.0,0
2025.0,1.0,2025-01-01,1836.0,ABE,PIE,-4.0,-13.0,0,0,970.0,0
2025.0,1.0,2025-01-01,204.0,ABE,PGD,-10.0,-3.0,0,0,1018.0,0
2025.0,1.0,2025-01-01,1567.0,PGD,ATW,41.0,40.0,0,0,1250.0,1
2025.0,1.0,2025-01-01,3189.0,ATW,PGD,-15.0,24.0,0,0,1250.0,1
2025.0,1.0,2025-01-01,1550.0,PGD,FNT,97.0,83.0,0,0,1111.0,1
2025.0,1.0,2025-01-01,3165.0,FNT,PGD,-5.0,68.0,0,0,1111.0,1
2025.0,1.0,2025-01-01,1548.0,SRQ,FNT,14.0,-5.0,0,0,1075.0,0
2025.0,1.0,2025-01-01,3157.0,FNT,SRQ,-3.0,13.0,0,0,1075.0,0
2025.0,1.0,2025-01-01,3004.0,SBN,SRQ,-10.0,7.0,0,0,1009.0,0
