YEAR,MONTH,FL_DATE,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,FLIGHTS,DISTANCE,DIV_ARR_DELAY,DIV_DISTANCE
2025,1,01/01/25 0:00,,1370,11986,1198603,31986,GRR,"Grand Rapids, MI",13204,1320402,31454,MCO,"Orlando, FL",FL,,,,,1,0,1,1024,,
2025,1,01/01/25 0:00,,1373,11503,1150305,31503,EGE,"Eagle, CO",13930,1393008,30977,ORD,"Chicago, IL",IL,,,,,1,0,1,1007,,
2025,1,01/01/25 0:00,,1550,11292,1129202,30325,DEN,"Denver, CO",14698,1469802,34236,SBP,"San Luis Obispo, CA",CA,,,,,1,0,1,931,,
2025,1,01/01/25 0:00,,2094,14635,1463502,31714,RSW,"Fort Myers, FL",11618,1161802,31703,EWR,"Newark, NJ",NJ,,,,,1,0,1,1068,,
2025,1,01/01/25 0:00,,2121,15356,1535602,35356,TTN,"Trenton, NJ",14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",FL,,,,,1,0,1,985,,
2025,1,01/01/25 0:00,,2123,13198,1319801,33198,MCI,"Kansas City, MO",11292,1129202,30325,DEN,"Denver, CO",CO,,,,,1,0,1,533,,
2025,1,01/01/25 0:00,,2221,11292,1129202,30325,DEN,"Denver, CO",13502,1350202,33502,MTJ,"Montrose/Delta, CO",CO,,,,,1,0,1,196,,
2025,1,01/01/25 0:00,,2507,14100,1410005,34100,PHL,"Philadelphia, PA",13204,1320402,31454,MCO,"Orlando, FL",FL,,,,,1,0,1,861,,
2025,1,01/01/25 0:00,,2562,14082,1408203,34082,PGD,"Punta Gorda, FL",15295,1529503,35165,TOL,"Toledo, OH",OH,,,,,1,0,1,1016,,
2025,1,01/01/25 0:00,,2575,15295,1529503,35165,TOL,"Toledo, OH",14082,1408203,34082,PGD,"Punta Gorda, FL",FL,,,,,1,0,1,1016,,
2025,1,01/01/25 0:00,,2582,14027,1402702,34027,PBI,"West Palm Beach/Palm Beach, FL",14100,1410005,34100,PHL,"Philadelphia, PA",PA,,,,,1,0,1,951,,
2025,1,01/01/25 0:00,,262,11292,1129202,30325,DEN,"Denver, CO",11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,,,,,1,0,1,641,,
2025,1,01/01/25 0:00,,2624,14635,1463502,31714,RSW,"Fort Myers, FL",13930,1393008,30977,ORD,"Chicago, IL",IL,,,,,1,0,1,1120,,
2025,1,01/01/25 0:00,,2660,11292,1129202,30325,DEN,"Denver, CO",14689,1468902,34689,SBA,"Santa Barbara, CA",CA,,,,,1,0,1,916,,
2025,1,01/01/25 0:00,,3394,14771,1477104,32457,SFO,"San Francisco, CA",14869,1486903,34614,SLC,"Salt Lake City, UT",UT,,,,,1,0,1,599,,
2025,1,01/01/25 0:00,,4263,14635,1463502,31714,RSW,"Fort Myers, FL",11986,1198603,31986,GRR,"Grand Rapids, MI",MI,,,,,1,0,1,1147,,
2025,1,01/01/25 0:00,,4461,14843,1484306,34819,SJU,"San Juan, PR",14100,1410005,34100,PHL,"Philadelphia, PA",PA,,,,,1,0,1,1576,,
2025,1,01/01/25 0:00,,4949,14869,1486903,34614,SLC,"Salt Lake City, UT",14107,1410702,30466,PHX,"Phoenix, AZ",AZ,,,,,1,0,1,507,,
2025,1,01/01/25 0:00,,586,11292,1129202,30325,DEN,"Denver, CO",13198,1319801,33198,MCI,"Kansas City, MO",MO,,,,,1,0,1,533,,
2025,1,01/01/25 0:00,188NV,501,11697,1169706,32467,FLL,"Fort Lauderdale, FL",14025,1402501,34025,PBG,"Plattsburgh, NY",NY,955,-5,1247,-32,0,0,1,1334,,
2025,1,01/01/25 0:00,188NV,531,14025,1402501,34025,PBG,"Plattsburgh, NY",11697,1169706,32467,FLL,"Fort Lauderdale, FL",FL,1406,-3,1735,-17,0,0,1,1334,,
2025,1,01/01/25 0:00,189NV,1062,14025,1402501,34025,PBG,"Plattsburgh, NY",14112,1411206,33195,PIE,"St. Petersburg, FL",FL,1513,25,1851,33,0,0,1,1262,,
2025,1,01/01/25 0:00,189NV,2724,14112,1411206,33195,PIE,"St. Petersburg, FL",14025,1402501,34025,PBG,"Plattsburgh, NY",NY,1059,-1,1416,18,0,0,1,1262,,
2025,1,01/01/25 0:00,190NV,2554,14082,1408203,34082,PGD,"Punta Gorda, FL",14952,1495203,34952,SPI,"Springfield, IL",IL,1803,107,1937,102,0,0,1,994,,
2025,1,01/01/25 0:00,190NV,2820,14783,1478302,34783,SGF,"Springfield, MO",14761,1476107,34761,SFB,"Sanford, FL",FL,841,-6,1151,-13,0,0,1,914,,
2025,1,01/01/25 0:00,190NV,2971,14761,1476107,34761,SFB,"Sanford, FL",14783,1478302,34783,SGF,"Springfield, MO",MO,612,-3,750,-7,0,0,1,914,,
